Benchmark,Model,Balanced_Accuracy,Precision,Recall_Sensitivity,Specificity,F1_Score
AVERAGE,Baseline_CNN,0.8506617261913787,0.39818308655720397,0.7710701057659429,0.9302533466168142,0.4949230997129283
AVERAGE,Ensemble_MajorityVote,0.8789043070452977,0.42772732459982743,0.8271786353747256,0.9306299787158698,0.5255360531187294
AVERAGE,Ensemble_Stacking,0.9237481664028028,0.39428650656871767,0.9096343595985055,0.9378619732070999,0.5095094859838711
AVERAGE,Ensemble_WeightedVote,0.8605894074794079,0.45270640373933857,0.7791460906311134,0.9420327243277026,0.536757617252978
AVERAGE,ann,0.8466504704934783,0.43033393429045796,0.7619221687314106,0.931378772255546,0.5029949892998398
AVERAGE,cnn,0.8506617261913787,0.39818308655720397,0.7710701057659429,0.9302533466168142,0.4949230997129283
AVERAGE,random_forest,0.8517909222632237,0.4913616719642927,0.7571252891219676,0.9464565554044798,0.5465808657375495
AVERAGE,svm,0.883324627479914,0.43047584624978513,0.8318837540344551,0.9347655009253731,0.5289356906345601
